wavenumber_cm-1,transmittance_percent
365.05,75.000
367.88,74.325
370.41,73.795
372.97,73.461
375.53,73.272
378.06,73.131
380.62,72.937
383.19,72.727
385.71,72.648
388.28,72.758
390.84,72.864
393.36,72.764
395.93,72.512
398.72,72.219
401.28,71.931
403.85,71.743
406.37,71.659
408.94,71.643
411.50,71.607
414.03,71.501
416.59,71.355
419.15,71.224
421.68,71.088
424.24,70.853
426.80,70.574
429.60,70.407
432.16,70.366
434.69,70.360
437.25,70.376
439.81,70.465
442.34,70.633
444.90,70.805
447.47,70.904
449.99,70.983
452.56,71.172
455.12,71.575
457.64,72.204
460.21,72.989
463.00,73.832
465.56,74.623
468.13,75.382
470.65,76.215
473.22,77.153
475.78,78.147
478.31,79.148
480.87,80.064
483.43,80.876
485.96,81.640
488.52,82.389
491.09,83.070
493.88,83.630
496.44,84.070
498.97,84.468
501.53,84.871
504.09,85.170
506.62,85.333
509.18,85.437
511.75,85.511
514.27,85.511
516.84,85.443
519.40,85.364
521.92,85.275
524.49,85.154
527.28,85.050
529.84,85.076
532.41,85.207
534.93,85.296
537.50,85.285
540.06,85.291
542.59,85.411
545.15,85.574
547.71,85.668
550.24,85.704
552.80,85.751
555.37,85.867
558.16,86.055
560.72,86.249
563.25,86.359
565.81,86.427
568.37,86.532
570.90,86.652
573.46,86.710
576.03,86.778
578.55,86.972
581.12,87.244
583.68,87.432
586.20,87.548
589.04,87.721
591.56,87.946
594.12,88.197
596.69,88.469
599.21,88.700
601.78,88.842
604.34,88.936
606.87,89.025
609.43,89.161
611.99,89.370
614.52,89.590
617.08,89.690
619.65,89.721
622.44,89.753
625.00,89.716
627.53,89.538
630.09,89.339
632.65,89.239
635.18,89.349
637.74,89.810
640.31,90.334
642.83,89.993
645.40,88.710
647.96,87.768
650.48,87.783
653.32,88.176
655.84,88.501
658.40,88.836
660.97,89.292
663.49,89.826
666.06,90.303
668.62,90.580
671.15,90.653
673.71,90.653
676.27,90.637
678.80,90.633
681.36,90.653
683.93,90.674
686.72,90.680
689.28,90.669
691.81,90.633
694.37,90.570
696.93,90.512
699.46,90.523
702.02,90.570
704.59,90.580
707.11,90.574
709.68,90.622
712.24,90.784
714.76,91.124
717.60,91.795
720.12,92.832
722.69,93.706
725.25,93.308
727.77,92.141
730.34,91.198
732.90,90.716
735.43,90.622
737.99,90.758
740.55,90.910
743.08,90.920
745.64,90.826
748.44,90.794
751.00,90.873
753.56,90.988
756.09,91.036
758.65,91.025
761.21,91.030
763.74,91.083
766.30,91.167
768.87,91.234
771.39,91.287
773.96,91.329
776.52,91.355
779.05,91.360
781.88,91.340
784.40,91.281
786.97,91.193
789.53,91.124
792.05,91.104
794.62,91.140
797.18,91.203
799.71,91.250
802.27,91.250
804.83,91.203
807.36,91.140
809.92,91.093
812.72,91.062
815.28,91.041
817.84,91.041
820.37,91.051
822.93,91.088
825.50,91.130
828.02,91.124
830.58,91.062
833.15,90.994
835.67,90.952
838.24,90.920
840.80,90.920
843.33,90.967
846.16,91.036
848.68,91.073
851.25,91.046
853.81,90.931
856.33,90.758
858.90,90.574
861.46,90.402
863.99,90.260
866.55,90.161
869.11,90.062
871.64,89.920
874.20,89.769
877.00,89.653
879.56,89.580
882.12,89.522
884.65,89.490
887.21,89.486
889.78,89.486
892.30,89.506
894.86,89.549
897.43,89.600
899.95,89.669
902.52,89.779
905.08,89.910
907.87,90.014
910.44,90.083
912.96,90.182
915.53,90.360
918.09,90.574
920.61,90.769
923.18,90.931
925.74,91.073
928.27,91.183
930.83,91.261
933.39,91.376
935.92,91.564
938.48,91.780
941.28,91.973
943.84,92.114
946.40,92.204
948.93,92.267
951.49,92.345
954.06,92.439
956.58,92.544
959.14,92.644
961.71,92.717
964.23,92.738
966.80,92.727
969.36,92.727
972.15,92.727
974.72,92.695
977.24,92.644
979.81,92.596
982.37,92.528
984.89,92.439
987.46,92.381
990.02,92.377
992.55,92.355
995.11,92.251
997.67,92.098
1000.20,91.984
1002.76,91.952
1005.56,91.947
1008.12,91.905
1010.68,91.805
1013.21,91.674
1015.77,91.549
1018.34,91.450
1020.86,91.344
1023.43,91.219
1025.99,91.062
1028.51,90.910
1031.08,90.784
1033.64,90.684
1036.43,90.538
1039.00,90.313
1041.52,90.077
1044.09,89.920
1046.65,89.831
1049.18,89.710
1051.74,89.543
1054.30,89.402
1056.83,89.329
1059.39,89.292
1061.95,89.245
1064.48,89.187
1067.31,89.124
1069.84,89.051
1072.40,88.967
1074.96,88.878
1077.49,88.805
1080.05,88.773
1082.62,88.768
1085.14,88.736
1087.71,88.658
1090.27,88.574
1092.79,88.485
1095.36,88.422
1097.92,88.391
1100.71,88.370
1103.28,88.333
1105.80,88.286
1108.37,88.192
1110.93,88.014
1113.46,87.799
1116.02,87.595
1118.58,87.443
1121.11,87.286
1123.67,87.087
1126.24,86.857
1128.76,86.637
1131.59,86.427
1134.12,86.228
1136.68,86.055
1139.24,85.877
1141.77,85.678
1144.33,85.505
1146.90,85.395
1149.42,85.296
1151.99,85.128
1154.55,84.887
1157.07,84.631
1159.64,84.411
