land_use,depth_cm,A2925_aliphatic,A1717_carboxyl,A1650_aromatic_amide,A1560_amideII,A1420_carbonate,A1384_nitrate,A1160_polysaccharide,A1032_silicate,A798_quartz,A535_iron_oxide,ratio_2925_1032_organic_to_mineral,ratio_1650_1032_humified_to_mineral,ratio_2925_1650_aliphaticity,ratio_1717_1650_carboxyl_to_aromatic,hydrophobicity_2925_over_1650_plus_1160
Coniferous forest,0-15,0.0676,0.0578,0.0630,0.0242,0.0093,0.0047,0.0192,0.2201,0.0377,0.0642,0.3072,0.2861,1.0739,0.9184,0.8234
Coniferous forest,15-30,0.0328,0.0307,0.0344,0.0115,0.0100,0.0039,0.0061,0.2912,0.0442,0.0733,0.1127,0.1180,0.9550,0.8937,0.8119
Grazing land,0-15,0.0499,0.0461,0.0600,0.0210,0.0220,0.0153,0.0210,0.2581,0.0466,0.0632,0.1932,0.2326,0.8308,0.7674,0.6156
Grazing land,15-30,0.0285,0.0249,0.0342,0.0111,0.0243,0.0193,0.0071,0.3240,0.0467,0.0780,0.0881,0.1055,0.8353,0.7286,0.6909
Wasteland,0-15,0.0135,0.0123,0.0223,0.0074,0.0526,0.0371,0.0049,0.3705,0.0626,0.0858,0.0364,0.0602,0.6043,0.5514,0.4958
Wasteland,15-30,0.0113,0.0115,0.0164,0.0075,0.0674,0.0502,0.0059,0.3603,0.0613,0.0952,0.0314,0.0457,0.6870,0.6967,0.5064
Apple orchard,0-15,0.0453,0.0464,0.0495,0.0203,0.0397,0.0341,0.0122,0.3030,0.0455,0.0738,0.1494,0.1632,0.9154,0.9388,0.7345
Apple orchard,15-30,0.0309,0.0294,0.0312,0.0123,0.0549,0.0416,0.0066,0.3329,0.0510,0.0740,0.0929,0.0937,0.9912,0.9427,0.8181
Paddy field,0-15,0.0366,0.0507,0.0697,0.0208,0.0146,0.0129,0.0104,0.3693,0.0425,0.0912,0.0991,0.1888,0.5246,0.7268,0.4564
Paddy field,15-30,0.0288,0.0353,0.0437,0.0152,0.0172,0.0107,0.0113,0.3980,0.0500,0.1020,0.0723,0.1097,0.6593,0.8073,0.5235
Maize field,0-15,0.0379,0.0400,0.0419,0.0125,0.0280,0.0320,0.0131,0.2879,0.0424,0.0762,0.1315,0.1455,0.9041,0.9538,0.6893
Maize field,15-30,0.0231,0.0241,0.0269,0.0082,0.0365,0.0291,0.0099,0.3364,0.0542,0.0766,0.0687,0.0798,0.8602,0.8992,0.6286
Vegetable field,0-15,0.0332,0.0369,0.0433,0.0136,0.0267,0.0489,0.0131,0.3232,0.0474,0.0625,0.1028,0.1340,0.7672,0.8519,0.5892
Vegetable field,15-30,0.0210,0.0224,0.0254,0.0086,0.0363,0.0399,0.0083,0.3825,0.0495,0.0661,0.0550,0.0665,0.8265,0.8804,0.6232
