wavenumber_cm-1,transmittance_percent,absorbance
400.0000,81.3080,0.089867
401.9289,80.3505,0.095011
403.8579,79.8682,0.097626
405.7868,79.0031,0.102356
407.7157,78.3807,0.105791
409.6447,77.4253,0.111117
411.5736,76.2860,0.117555
413.5025,75.5368,0.121841
415.4315,74.5393,0.127615
417.3604,73.7500,0.132238
419.2893,73.0066,0.136638
421.2183,72.2923,0.140908
423.1472,71.4571,0.145955
425.0761,70.8250,0.149813
427.0051,70.2309,0.153472
428.9340,69.5589,0.157647
430.8629,69.2257,0.159733
432.7919,68.7974,0.162428
434.7208,68.2503,0.165895
436.6497,68.1038,0.166829
438.5787,68.0301,0.167299
440.5076,67.9543,0.167783
442.4365,67.5825,0.170165
444.3655,67.3877,0.171419
446.2944,67.4959,0.170722
448.2233,66.9031,0.174554
450.1523,67.1996,0.172634
452.0812,66.6296,0.176333
454.0102,66.2022,0.179128
455.9391,65.9103,0.181047
457.8680,65.3577,0.184703
459.7970,65.0926,0.186468
461.7259,64.6671,0.189317
463.6548,64.3105,0.191718
465.5838,64.2278,0.192277
467.5127,64.2573,0.192078
469.4416,64.5295,0.190242
471.3706,64.7317,0.188883
473.2995,64.5924,0.189819
475.2284,65.1049,0.186386
477.1574,65.5937,0.183138
479.0863,66.3492,0.178164
481.0152,66.7976,0.175239
482.9442,67.7636,0.169004
484.8731,68.3832,0.165051
486.8020,69.0399,0.160900
488.7310,69.8907,0.155581
490.6599,70.5576,0.151456
492.5888,70.8237,0.149821
494.5178,71.3368,0.146686
496.4467,71.4912,0.145747
498.3756,71.7723,0.144043
500.3046,71.7774,0.144012
502.2335,71.6659,0.144687
504.1624,71.4904,0.145752
506.0914,71.2262,0.147360
508.0203,70.8541,0.149635
509.9492,70.1774,0.153803
511.8782,69.9967,0.154922
513.8071,69.4781,0.158152
515.7360,69.2710,0.159448
517.6650,69.0200,0.161025
519.5939,68.8726,0.161953
521.5228,68.7706,0.162597
523.4518,68.8426,0.162143
525.3807,69.1467,0.160228
527.3096,69.2666,0.159476
529.2386,69.9347,0.155307
531.1675,70.3748,0.152583
533.0964,70.8180,0.149856
535.0254,71.2583,0.147165
536.9543,71.8618,0.143502
538.8832,72.7341,0.138262
540.8122,73.4577,0.133963
542.7411,74.1773,0.129729
544.6700,74.8226,0.125967
546.5990,75.7492,0.120622
548.5279,76.2254,0.117900
550.4569,76.9984,0.113518
552.3858,77.9266,0.108314
554.3147,78.3978,0.105696
556.2437,79.1964,0.101294
558.1726,80.2189,0.095723
560.1015,80.8609,0.092261
562.0305,81.2908,0.089959
563.9594,81.9870,0.086255
565.8883,82.7220,0.082379
567.8173,83.2456,0.079639
569.7462,83.4908,0.078361
571.6751,83.9432,0.076014
573.6041,84.4714,0.073290
575.5330,85.0417,0.070368
577.4619,84.8122,0.071542
579.3909,85.4879,0.068095
581.3198,85.1126,0.070006
583.2487,85.3596,0.068748
585.1777,85.6897,0.067072
587.1066,85.5415,0.067823
589.0355,85.7671,0.066680
590.9645,85.1428,0.069852
592.8934,84.7742,0.071736
594.8223,84.7592,0.071813
596.7513,84.3192,0.074074
598.6802,84.1598,0.074896
600.6091,83.9342,0.076061
602.5381,83.2221,0.079761
604.4670,83.6183,0.077699
606.3959,83.0482,0.080670
608.3249,83.0063,0.080889
610.2538,83.0707,0.080552
612.1827,83.0328,0.080750
614.1117,83.1931,0.079912
