wavenumber_cm-1,transmittance_percent,absorbance
400.0000,82.1986,0.085136
401.9289,81.6039,0.088289
403.8579,81.3514,0.089635
405.7868,80.2638,0.095480
407.7157,79.5833,0.099178
409.6447,78.5621,0.104787
411.5736,78.0870,0.107421
413.5025,77.0798,0.113060
415.4315,76.3563,0.117155
417.3604,75.8609,0.119982
419.2893,75.0636,0.124571
421.2183,74.2968,0.129030
423.1472,74.0033,0.130749
425.0761,73.1374,0.135860
427.0051,72.8512,0.137563
428.9340,72.3291,0.140687
430.8629,72.2207,0.141338
432.7919,71.4502,0.145997
434.7208,71.2139,0.147436
436.6497,71.0992,0.148135
438.5787,71.0961,0.148154
440.5076,70.6919,0.150630
442.4365,70.5557,0.151468
444.3655,70.6651,0.150795
446.2944,69.8937,0.155562
448.2233,69.7967,0.156165
450.1523,69.6513,0.157071
452.0812,69.4315,0.158444
454.0102,69.0448,0.160869
455.9391,68.8024,0.162397
457.8680,68.6456,0.163388
459.7970,68.6466,0.163381
461.7259,68.3234,0.165431
463.6548,68.4990,0.164316
465.5838,68.3126,0.165499
467.5127,68.4783,0.164447
469.4416,68.9065,0.161740
471.3706,69.1619,0.160133
473.2995,69.6195,0.157269
475.2284,70.1713,0.153841
477.1574,71.0037,0.148719
479.0863,71.5828,0.145191
481.0152,72.1580,0.141716
482.9442,72.8358,0.137655
484.8731,73.5153,0.133622
486.8020,74.0783,0.130309
488.7310,75.1378,0.124142
490.6599,75.0478,0.124662
492.5888,75.4394,0.122402
494.5178,75.8729,0.119913
496.4467,76.2349,0.117846
498.3756,76.1883,0.118112
500.3046,76.1069,0.118576
502.2335,75.5780,0.121605
504.1624,75.2144,0.123699
506.0914,74.7709,0.126268
508.0203,74.2553,0.129273
509.9492,73.7369,0.132315
511.8782,73.1769,0.135626
513.8071,72.6347,0.138856
515.7360,72.0633,0.142286
517.6650,71.6591,0.144729
519.5939,71.4685,0.145885
521.5228,71.4070,0.146259
523.4518,71.3928,0.146345
525.3807,71.3670,0.146503
527.3096,71.7630,0.144099
529.2386,72.1858,0.141548
531.1675,72.7210,0.138340
533.0964,73.2610,0.135127
535.0254,73.7518,0.132227
536.9543,74.7102,0.126620
538.8832,75.1471,0.124088
540.8122,76.1079,0.118570
542.7411,76.7383,0.114988
544.6700,77.7240,0.109445
546.5990,78.5100,0.105075
548.5279,78.9184,0.102821
550.4569,80.0254,0.096772
552.3858,80.5665,0.093846
554.3147,80.7943,0.092619
556.2437,81.8997,0.086718
558.1726,82.2266,0.084988
560.1015,83.0322,0.080753
562.0305,83.6659,0.077451
563.9594,84.0526,0.075449
565.8883,84.5074,0.073105
567.8173,85.0389,0.070382
569.7462,85.5107,0.067980
571.6751,85.7221,0.066907
573.6041,85.8631,0.066193
575.5330,86.1174,0.064909
577.4619,86.5197,0.062885
579.3909,86.3228,0.063874
581.3198,86.3583,0.063696
583.2487,86.3997,0.063488
585.1777,86.4352,0.063309
587.1066,86.2942,0.064018
589.0355,86.2400,0.064291
590.9645,85.7536,0.066747
592.8934,85.7912,0.066557
594.8223,85.3522,0.068786
596.7513,85.6099,0.067476
598.6802,85.1041,0.070050
600.6091,84.7049,0.072092
602.5381,84.2788,0.074282
604.4670,84.6673,0.072284
606.3959,84.5297,0.072991
608.3249,84.4964,0.073162
610.2538,84.4402,0.073451
612.1827,84.7505,0.071858
614.1117,85.1183,0.069977
616.0406,85.2413,0.069350
617.9695,85.6744,0.067149
619.8985,86.0607,0.065195
621.8274,86.6686,0.062138
623.7563,87.0810,0.060077
625.6853,87.1841,0.059563
627.6142,87.1258,0.059853
629.5431,87.6293,0.057351
631.4721,87.8015,0.056498
633.4010,88.1958,0.054552
635.3299,88.2621,0.054226
637.2589,88.6023,0.052555
639.1878,89.1499,0.049879
641.1168,89.2962,0.049167
643.0457,89.2919,0.049188
644.9746,89.3123,0.049089
646.9036,89.4847,0.048251
648.8325,89.3241,0.049031
650.7614,89.3055,0.049122
652.6904,89.5870,0.047755
654.6193,89.6718,0.047344
656.5482,89.8720,0.046376
658.4772,89.5846,0.047767
660.4061,89.3883,0.048720
662.3350,89.9508,0.045995
664.2640,89.8957,0.046261
666.1929,89.7519,0.046956
668.1218,89.4601,0.048370
670.0508,89.6471,0.047464
671.9797,89.5660,0.047857
673.9086,89.7220,0.047101
675.8376,89.7296,0.047065
677.7665,88.8511,0.051337
679.6954,88.8880,0.051157
681.6244,88.2878,0.054099
683.5533,88.1567,0.054745
685.4822,87.9248,0.055889
687.4112,87.4239,0.058370
689.3401,86.9383,0.060789
691.2690,86.9338,0.060811
693.1980,86.6321,0.062321
695.1269,86.6633,0.062165
697.0558,87.1698,0.059634
698.9848,87.3779,0.058599
700.9137,87.6396,0.057300
702.8426,88.6202,0.052467
704.7716,88.2059,0.054502
706.7005,88.6824,0.052163
708.6294,89.0046,0.050588
710.5584,89.2573,0.049356
712.4873,88.9987,0.050616
714.4162,88.8964,0.051116
716.3452,89.0261,0.050483
718.2741,88.6676,0.052235
720.2030,88.9230,0.050986
722.1320,88.1792,0.054634
724.0609,88.1173,0.054939
725.9898,87.5692,0.057649
727.9188,87.0779,0.060092
729.8477,86.4153,0.063409
731.7766,86.1513,0.064738
733.7056,85.8557,0.066231
735.6345,85.4193,0.068444
737.5634,85.8378,0.066322
739.4924,85.7066,0.066986
741.4213,85.8290,0.066366
743.3503,86.1073,0.064960
745.2792,86.6781,0.062091
747.2081,87.2972,0.059000
749.1371,87.7563,0.056722
751.0660,88.2403,0.054333
752.9949,88.2098,0.054483
