wavenumber_cm-1,transmittance_percent,absorbance
400.0000,81.9136,0.086644
401.9289,81.5772,0.088431
403.8579,80.3362,0.095089
405.7868,79.8153,0.097914
407.7157,78.9957,0.102396
409.6447,78.1726,0.106946
411.5736,77.6029,0.110122
413.5025,76.5789,0.115891
415.4315,76.0647,0.118817
417.3604,75.3166,0.123109
419.2893,74.2479,0.129316
421.2183,73.6777,0.132664
423.1472,73.1095,0.136026
425.0761,72.6656,0.138671
427.0051,71.8909,0.143326
428.9340,71.4522,0.145984
430.8629,71.1516,0.147816
432.7919,70.6060,0.151158
434.7208,70.6316,0.151001
436.6497,70.0940,0.154319
438.5787,70.0723,0.154454
440.5076,69.6080,0.157341
442.4365,69.5756,0.157543
444.3655,69.5174,0.157907
446.2944,69.2065,0.159853
448.2233,68.9534,0.161444
450.1523,68.5146,0.164217
452.0812,68.0051,0.167458
454.0102,67.8963,0.168154
455.9391,67.4543,0.170990
457.8680,66.8585,0.174844
459.7970,66.3155,0.178385
461.7259,65.8048,0.181743
463.6548,65.6588,0.182707
465.5838,65.4609,0.184018
467.5127,65.1052,0.186385
469.4416,65.2008,0.185747
471.3706,65.1434,0.186130
473.2995,65.3841,0.184528
475.2284,65.9285,0.180927
477.1574,66.2842,0.178590
479.0863,66.8427,0.174946
481.0152,67.4599,0.170954
482.9442,68.3097,0.165517
484.8731,69.0128,0.161070
486.8020,69.6120,0.157316
488.7310,70.7276,0.150411
490.6599,70.9281,0.149182
492.5888,71.9193,0.143154
494.5178,71.7334,0.144279
496.4467,72.1826,0.141567
498.3756,72.4026,0.140246
500.3046,72.4469,0.139980
502.2335,72.2087,0.141411
504.1624,71.9284,0.143099
506.0914,71.4557,0.145963
508.0203,71.1095,0.148072
509.9492,70.7288,0.150404
511.8782,70.5576,0.151456
513.8071,70.0322,0.154702
515.7360,69.7190,0.156649
517.6650,69.3310,0.159073
519.5939,69.3607,0.158886
521.5228,69.0100,0.161088
523.4518,69.0939,0.160560
525.3807,69.1294,0.160337
527.3096,69.2537,0.159557
529.2386,69.6873,0.156846
531.1675,70.2322,0.153463
533.0964,70.9784,0.148874
535.0254,71.2055,0.147487
536.9543,72.0942,0.142100
538.8832,72.3913,0.140314
540.8122,73.5494,0.133421
542.7411,74.4629,0.128060
544.6700,75.3371,0.122991
546.5990,76.1417,0.118377
548.5279,76.8759,0.114210
550.4569,77.7068,0.109541
552.3858,78.7784,0.103593
554.3147,79.2513,0.100994
556.2437,80.3176,0.095189
558.1726,80.9107,0.091994
560.1015,81.5360,0.088650
562.0305,82.5038,0.083526
563.9594,83.2227,0.079758
565.8883,83.5552,0.078027
567.8173,84.0942,0.075234
569.7462,84.5528,0.072872
571.6751,84.9818,0.070674
573.6041,85.1815,0.069655
575.5330,85.4280,0.068400
577.4619,85.8285,0.066368
579.3909,86.1782,0.064603
581.3198,86.4280,0.063346
583.2487,86.3746,0.063614
585.1777,86.3166,0.063906
587.1066,86.3643,0.063666
589.0355,85.5375,0.067844
590.9645,86.0531,0.065233
592.8934,85.7816,0.066606
594.8223,85.3488,0.068803
596.7513,85.2747,0.069180
598.6802,84.8897,0.071145
600.6091,84.8089,0.071559
602.5381,84.2532,0.074413
604.4670,83.7599,0.076964
606.3959,83.8525,0.076484
608.3249,83.5577,0.078014
610.2538,83.5697,0.077951
612.1827,83.5588,0.078008
614.1117,83.6584,0.077490
616.0406,84.0286,0.075573
617.9695,83.7539,0.076995
619.8985,84.2914,0.074217
621.8274,84.7376,0.071924
623.7563,85.1997,0.069562
625.6853,85.6162,0.067444
627.6142,86.5767,0.062599
629.5431,86.4441,0.063265
631.4721,86.9797,0.060582
633.4010,87.4372,0.058304
635.3299,87.5955,0.057518
637.2589,88.0041,0.055497
639.1878,88.2842,0.054117
641.1168,88.3570,0.053759
643.0457,88.7299,0.051930
644.9746,89.0034,0.050593
646.9036,89.2831,0.049231
648.8325,88.7900,0.051636
650.7614,88.9370,0.050917
652.6904,89.1605,0.049827
654.6193,89.6770,0.047319
656.5482,89.2064,0.049604
658.4772,89.5186,0.048087
660.4061,89.7030,0.047193
662.3350,89.4533,0.048404
664.2640,89.7168,0.047126
666.1929,89.9300,0.046095
668.1218,89.3040,0.049129
670.0508,89.5615,0.047879
671.9797,89.5564,0.047903
673.9086,89.4257,0.048538
675.8376,89.1972,0.049649
677.7665,89.1325,0.049964
679.6954,88.9637,0.050787
681.6244,88.2643,0.054215
683.5533,88.0220,0.055409
685.4822,87.9714,0.055658
687.4112,87.2787,0.059092
689.3401,86.7936,0.061512
691.2690,86.7305,0.061828
693.1980,86.2816,0.064082
695.1269,85.7052,0.066993
697.0558,86.3358,0.063809
698.9848,86.4497,0.063236
700.9137,87.0998,0.059983
702.8426,87.9406,0.055811
704.7716,87.9245,0.055890
706.7005,88.2458,0.054306
708.6294,88.4690,0.053209
710.5584,88.6810,0.052169
712.4873,89.1283,0.049985
714.4162,89.2496,0.049394
716.3452,88.8501,0.051342
718.2741,89.1189,0.050030
720.2030,89.2590,0.049348
722.1320,88.9107,0.051046
724.0609,88.7553,0.051806
725.9898,88.7880,0.051646
727.9188,88.7247,0.051956
729.8477,88.2206,0.054430
731.7766,88.2723,0.054176
733.7056,88.3189,0.053946
735.6345,88.3752,0.053669
737.5634,87.8942,0.056040
739.4924,87.8626,0.056196
741.4213,88.1861,0.054600
743.3503,88.1223,0.054914
745.2792,88.3901,0.053596
747.2081,88.6047,0.052543
749.1371,89.2755,0.049268
751.0660,89.0085,0.050568
752.9949,89.2149,0.049562
754.9239,89.4927,0.048212
756.8528,89.4427,0.048455
758.7817,89.1911,0.049679
760.7107,89.0106,0.050558
762.6396,88.9151,0.051024
764.5685,88.4711,0.053199
766.4975,88.2234,0.054416
768.4264,87.5104,0.057940
770.3553,86.6901,0.062031
772.2843,85.3860,0.068613
774.2132,84.2752,0.074300
776.1421,82.3947,0.084101
778.0711,82.0336,0.086008
780.0000,80.9890,0.091574
781.9289,81.4417,0.089153
783.8579,82.2069,0.085092
785.7868,82.4545,0.083785
787.7157,83.0547,0.080636
789.6447,82.6501,0.082756
791.5736,82.1650,0.085313
793.5025,81.5465,0.088595
795.4315,81.4695,0.089005
797.3604,80.8515,0.092312
799.2893,81.6511,0.088038
801.2183,82.9076,0.081406
803.1472,84.4944,0.073172
805.0761,85.5505,0.067777
807.0051,87.2155,0.059406
808.9340,88.0286,0.055376
810.8629,88.4604,0.053251
812.7919,88.8752,0.051220
814.7208,89.6385,0.047505
816.6497,89.7134,0.047143
818.5787,89.7136,0.047142
820.5076,89.7843,0.046800
822.4365,90.0639,0.045449
824.3655,90.2108,0.044742
826.2944,90.2321,0.044639
828.2233,90.2493,0.044556
830.1523,90.0050,0.045733
832.0812,90.4631,0.043529
834.0102,89.7467,0.046982
835.9391,90.1859,0.044861
837.8680,90.0388,0.045570
839.7970,90.2309,0.044645
841.7259,90.0070,0.045724
843.6548,90.0692,0.045424
845.5838,90.3051,0.044288
847.5127,90.0371,0.045578
849.4416,89.8021,0.046713
851.3706,89.5833,0.047773
853.2995,89.5217,0.048072
855.2284,89.5670,0.047852
857.1574,89.0508,0.050362
859.0863,89.0242,0.050492
861.0152,88.1071,0.054989
862.9442,88.0681,0.055182
864.8731,87.4473,0.058254
866.8020,86.9050,0.060955
868.7310,86.8432,0.061264
870.6599,86.4502,0.063234
872.5888,86.6084,0.062440
874.5178,86.2137,0.064424
876.4467,86.3921,0.063526
878.3756,86.5769,0.062598
880.3046,86.6085,0.062440
882.2335,86.5075,0.062946
884.1624,86.8674,0.061143
886.0914,86.2753,0.064113
888.0203,86.1931,0.064527
889.9492,86.2466,0.064258
891.8782,85.8874,0.066071
893.8071,85.8303,0.066360
895.7360,85.3703,0.068693
897.6650,84.8919,0.071134
899.5939,84.7892,0.071659
901.5228,84.2212,0.074579
903.4518,83.6368,0.077603
905.3807,83.4483,0.078582
907.3096,82.8979,0.081456
909.2386,82.7349,0.082312
911.1675,82.7727,0.082113
913.0964,82.5902,0.083072
915.0254,82.5528,0.083268
916.9543,82.7037,0.082475
918.8832,83.1694,0.080037
920.8122,83.5247,0.078185
922.7411,83.6868,0.077343
924.6700,83.9516,0.075971
926.5990,84.4357,0.073474
928.5279,84.6690,0.072276
930.4569,85.0381,0.070387
932.3858,85.1710,0.069708
934.3147,85.6051,0.067500
936.2437,86.0259,0.065371
938.1726,86.3107,0.063935
940.1015,85.9012,0.066001
942.0305,86.1635,0.064677
943.9594,86.2486,0.064248
945.8883,85.9046,0.065984
947.8173,85.9250,0.065880
949.7462,85.8160,0.066432
951.6751,85.0014,0.070574
953.6041,84.7456,0.071883
955.5330,84.5268,0.073006
957.4619,84.0162,0.075637
959.3909,83.3726,0.078977
961.3198,82.6850,0.082573
963.2487,81.7819,0.087343
965.1777,81.0327,0.091340
967.1066,80.2741,0.095425
969.0355,79.1468,0.101566
970.9645,77.9505,0.108181
972.8934,77.2235,0.112250
974.8223,75.4838,0.122146
976.7513,74.0277,0.130606
978.6802,72.5267,0.139502
980.6091,71.2930,0.146953
982.5381,69.7816,0.156259
984.4670,67.9722,0.167669
986.3959,66.4912,0.177236
988.3249,64.9228,0.187603
990.2538,62.8158,0.201931
992.1827,61.2752,0.212716
994.1117,59.3713,0.226423
996.0406,57.8711,0.237538
997.9695,56.1785,0.250430
999.8985,54.6528,0.262387
1001.8274,52.9941,0.275773
1003.7563,51.3932,0.289094
1005.6853,50.0139,0.300910
1007.6142,48.8485,0.311148
1009.5431,47.5846,0.322534
1011.4721,46.4067,0.333419
1013.4010,45.2627,0.344259
1015.3299,44.3715,0.352896
1017.2589,43.4810,0.361700
1019.1878,42.7221,0.369347
1021.1167,42.1045,0.375672
1023.0457,41.6322,0.380571
1024.9746,40.8741,0.388551
1026.9035,40.6264,0.391192
1028.8325,40.2855,0.394851
1030.7614,39.9711,0.398254
1032.6904,39.9122,0.398894
1034.6193,39.8418,0.399661
1036.5482,39.7562,0.400595
1038.4772,39.9672,0.398296
1040.4061,39.9120,0.398897
1042.3350,40.1762,0.396031
1044.2640,40.6942,0.390467
1046.1929,41.0738,0.386435
1048.1218,41.3674,0.383342
1050.0508,41.7783,0.379049
1051.9797,42.2398,0.374279
1053.9086,42.7436,0.369129
1055.8376,43.4166,0.362344
1057.7665,43.7335,0.359186
1059.6954,44.5838,0.350823
1061.6244,45.3639,0.343290
1063.5533,46.0759,0.336526
1065.4822,46.6550,0.331102
1067.4112,47.5738,0.322632
1069.3401,48.0406,0.318392
1071.2690,49.1254,0.308694
1073.1980,49.7949,0.302816
1075.1269,50.8315,0.293867
1077.0558,51.6978,0.286528
1078.9848,52.4678,0.280107
1080.9137,53.5344,0.271367
1082.8426,54.6738,0.262221
1084.7716,55.6747,0.254342
1086.7005,56.7320,0.246172
1088.6294,57.8123,0.237980
1090.5584,58.9311,0.229655
1092.4873,59.9598,0.222140
1094.4162,61.1028,0.213939
1096.3452,62.0459,0.207287
1098.2741,63.1620,0.199544
1100.2030,64.3349,0.191553
1102.1320,65.3288,0.184895
1104.0609,66.2308,0.178940
1105.9898,67.5187,0.170576
1107.9188,68.3221,0.165439
1109.8477,69.2540,0.159555
1111.7766,70.0950,0.154313
1113.7056,70.8939,0.149391
1115.6345,71.8060,0.143839
1117.5634,72.6003,0.139062
1119.4924,73.4390,0.134073
1121.4213,74.1476,0.129903
1123.3502,74.6327,0.127071
1125.2792,75.7070,0.120864
1127.2081,76.1571,0.118290
1129.1371,76.4483,0.116632
1131.0660,76.9477,0.113804
1132.9949,77.4437,0.111014
1134.9239,78.6475,0.104315
1136.8528,78.7297,0.103861
1138.7817,78.9829,0.102467
1140.7107,79.6107,0.099029
1142.6396,79.8915,0.097500
1144.5685,79.9817,0.097010
1146.4975,80.6436,0.093430
1148.4264,80.7412,0.092905
1150.3553,80.7896,0.092645
1152.2843,81.1201,0.090872
1154.2132,81.2397,0.090232
1156.1421,81.5021,0.088831
1158.0711,81.9936,0.086220
1160.0000,82.3700,0.084231
1161.9289,82.3757,0.084201
1163.8579,82.7174,0.082403
1165.7868,83.3444,0.079124
1167.7157,83.6542,0.077512
1169.6447,84.1639,0.074874
1171.5736,84.1126,0.075139
1173.5025,84.8564,0.071315
1175.4315,85.0499,0.070326
1177.3604,85.3537,0.068778
1179.2893,85.7720,0.066654
1181.2183,86.4487,0.063242
1183.1472,86.5948,0.062508
1185.0761,87.1854,0.059556
1187.0051,87.1989,0.059489
1188.9340,88.0102,0.055467
1190.8629,88.2305,0.054381
1192.7919,88.5626,0.052750
1194.7208,88.8146,0.051516
1196.6497,88.7154,0.052001
1198.5787,89.3213,0.049045
1200.5076,89.5702,0.047837
1202.4365,89.9265,0.046112
1204.3655,89.7683,0.046877
1206.2944,89.6772,0.047318
1208.2233,90.0203,0.045659
1210.1523,89.9831,0.045839
1212.0812,89.9326,0.046083
1214.0101,90.0529,0.045502
1215.9391,90.3122,0.044253
1217.8680,90.3035,0.044296
1219.7969,90.1667,0.044954
1221.7259,90.4881,0.043408
1223.6548,90.0457,0.045537
1225.5838,90.1361,0.045101
1227.5127,90.3367,0.044136
1229.4416,90.2194,0.044700
1231.3706,90.0324,0.045601
1233.2995,90.1546,0.045012
1235.2284,89.8551,0.046457
1237.1574,89.4663,0.048340
1239.0863,89.4608,0.048367
1241.0152,89.4726,0.048310
1242.9442,89.5197,0.048081
1244.8731,89.6213,0.047589
1246.8020,88.9667,0.050772
1248.7310,89.0568,0.050333
1250.6599,89.0747,0.050246
1252.5888,88.7079,0.052038
1254.5178,89.0185,0.050520
1256.4467,88.9988,0.050616
1258.3756,88.7852,0.051659
1260.3046,88.9476,0.050866
