wavenumber_cm-1,transmittance_percent,absorbance
400.0000,80.5937,0.093699
401.9289,80.0961,0.096389
403.8579,78.8826,0.103019
405.7868,78.8834,0.103014
407.7157,77.8090,0.108970
409.6447,76.8938,0.114108
411.5736,75.9025,0.119744
413.5025,74.9217,0.125392
415.4315,74.4048,0.128399
417.3604,73.4258,0.134151
419.2893,72.5999,0.139064
421.2183,71.6138,0.145003
423.1472,70.7980,0.149979
425.0761,70.3685,0.152622
427.0051,69.6781,0.156904
428.9340,69.1352,0.160301
430.8629,68.6731,0.163213
432.7919,68.2108,0.166147
434.7208,68.0422,0.167222
436.6497,67.3659,0.171560
438.5787,67.1873,0.172713
440.5076,67.1223,0.173133
442.4365,66.8154,0.175123
444.3655,66.4580,0.177453
446.2944,66.2701,0.178683
448.2233,65.6502,0.182764
450.1523,65.4496,0.184093
452.0812,64.8653,0.187987
454.0102,64.6845,0.189200
455.9391,64.0917,0.193198
457.8680,63.8906,0.194563
459.7970,63.4192,0.197779
461.7259,63.1115,0.199892
463.6548,62.9904,0.200726
465.5838,62.9999,0.200660
467.5127,63.2035,0.199259
469.4416,63.1156,0.199863
471.3706,63.7349,0.195622
473.2995,64.2199,0.192331
475.2284,64.9198,0.187623
477.1574,65.5607,0.183356
479.0863,66.2987,0.178495
481.0152,67.2920,0.172037
482.9442,68.1244,0.166697
484.8731,68.9811,0.161270
486.8020,69.6660,0.156979
488.7310,70.4376,0.152195
490.6599,71.1880,0.147593
492.5888,71.5766,0.145229
494.5178,72.3180,0.140753
496.4467,72.3699,0.140442
498.3756,72.5308,0.139478
500.3046,72.3708,0.140437
502.2335,72.0906,0.142122
504.1624,71.9075,0.143226
506.0914,71.4705,0.145873
508.0203,70.9615,0.148977
509.9492,70.4269,0.152261
511.8782,70.1678,0.153862
513.8071,69.4018,0.158629
515.7360,69.1642,0.160118
517.6650,68.8911,0.161837
519.5939,68.4938,0.164349
521.5228,68.9227,0.161638
523.4518,68.5318,0.164108
525.3807,68.7951,0.162443
527.3096,69.2400,0.159643
529.2386,69.7272,0.156598
531.1675,70.1499,0.153973
533.0964,70.9025,0.149339
535.0254,71.6955,0.144508
536.9543,72.5008,0.139657
538.8832,73.1039,0.136059
540.8122,73.9263,0.131201
542.7411,74.7612,0.126324
544.6700,75.6007,0.121474
546.5990,76.7587,0.114872
548.5279,77.6001,0.110138
550.4569,78.0091,0.107855
552.3858,79.1654,0.101464
554.3147,80.1467,0.096115
556.2437,80.5917,0.093710
558.1726,81.2501,0.090176
560.1015,82.0734,0.085798
562.0305,82.8393,0.081763
563.9594,83.3763,0.078957
565.8883,83.7510,0.077010
567.8173,84.1839,0.074771
569.7462,84.9398,0.070889
571.6751,85.3672,0.068709
573.6041,85.0220,0.070469
575.5330,85.7519,0.066756
577.4619,85.7344,0.066845
579.3909,85.9485,0.065762
581.3198,86.2242,0.064371
583.2487,86.1887,0.064550
585.1777,86.2379,0.064302
587.1066,85.6379,0.067334
589.0355,85.6403,0.067322
590.9645,85.6120,0.067465
592.8934,85.2382,0.069366
594.8223,84.6604,0.072319
596.7513,84.6025,0.072617
598.6802,84.1015,0.075196
600.6091,83.8660,0.076414
602.5381,83.7291,0.077124
604.4670,83.5259,0.078179
606.3959,83.2490,0.079621
608.3249,83.2016,0.079868
610.2538,83.2755,0.079483
612.1827,83.5117,0.078253
614.1117,83.7328,0.077104
616.0406,83.7058,0.077244
617.9695,84.4131,0.073590
619.8985,85.1662,0.069733
621.8274,85.6187,0.067431
623.7563,85.9747,0.065629
625.6853,86.2335,0.064324
627.6142,86.8577,0.061191
629.5431,86.7248,0.061857
631.4721,87.4326,0.058327
633.4010,87.8515,0.056251
635.3299,87.8953,0.056034
637.2589,88.2018,0.054523
639.1878,88.6894,0.052128
641.1168,88.6393,0.052374
643.0457,89.0838,0.050201
644.9746,88.9752,0.050731
646.9036,89.3308,0.048999
648.8325,89.0474,0.050379
650.7614,89.5490,0.047939
652.6904,89.0824,0.050208
654.6193,89.4848,0.048251
656.5482,89.5464,0.047952
658.4772,89.1548,0.049855
660.4061,89.4191,0.048569
662.3350,89.2070,0.049601
664.2640,89.4271,0.048531
666.1929,89.1231,0.050010
668.1218,89.4040,0.048643
670.0508,88.9619,0.050796
671.9797,89.1694,0.049784
673.9086,88.5760,0.052684
675.8376,89.0150,0.050537
677.7665,88.9899,0.050659
679.6954,88.3764,0.053664
681.6244,87.9867,0.055583
683.5533,87.5636,0.057676
685.4822,87.4268,0.058355
687.4112,86.6171,0.062397
689.3401,86.3946,0.063514
691.2690,85.9928,0.065538
693.1980,85.3928,0.068579
695.1269,85.4772,0.068150
697.0558,85.6208,0.067421
698.9848,86.0429,0.065285
700.9137,86.5103,0.062932
702.8426,86.9310,0.060825
704.7716,87.5749,0.057620
706.7005,88.0815,0.055115
708.6294,88.2617,0.054228
710.5584,88.7308,0.051926
712.4873,89.1739,0.049762
714.4162,88.8635,0.051277
716.3452,89.4610,0.048366
718.2741,89.3403,0.048953
720.2030,88.9843,0.050687
722.1320,89.1081,0.050083
724.0609,88.9728,0.050743
725.9898,88.7438,0.051862
727.9188,89.0776,0.050231
729.8477,88.6743,0.052202
731.7766,88.7262,0.051948
733.7056,88.7163,0.051997
735.6345,88.1102,0.054974
737.5634,88.3837,0.053628
739.4924,87.9984,0.055525
741.4213,88.4456,0.053324
743.3503,88.5465,0.052829
745.2792,88.4750,0.053179
747.2081,88.5802,0.052663
749.1371,89.0202,0.050512
751.0660,89.1115,0.050066
752.9949,89.1573,0.049843
754.9239,89.2243,0.049517
756.8528,88.9337,0.050933
758.7817,89.1424,0.049915
760.7107,88.9438,0.050885
762.6396,88.8417,0.051383
764.5685,88.0065,0.055485
766.4975,87.2007,0.059480
768.4264,86.7933,0.061514
770.3553,85.4977,0.068045
772.2843,84.3962,0.073677
774.2132,82.9298,0.081290
776.1421,81.4189,0.089275
778.0711,80.4540,0.094453
780.0000,80.3523,0.095002
781.9289,80.3922,0.094786
783.8579,81.1028,0.090964
785.7868,81.5437,0.088610
787.7157,81.6960,0.087799
789.6447,81.5725,0.088456
791.5736,80.6805,0.093231
793.5025,79.9691,0.097078
795.4315,79.3864,0.100254
797.3604,79.8034,0.097978
799.2893,80.3899,0.094798
