wavenumber_cm-1,transmittance_percent,absorbance
400.0000,80.4590,0.094425
401.9289,79.6316,0.098915
403.8579,78.7274,0.103874
405.7868,77.8581,0.108696
407.7157,76.6992,0.115209
409.6447,75.8880,0.119827
411.5736,75.0383,0.124717
413.5025,74.4418,0.128183
415.4315,73.2355,0.135278
417.3604,72.3892,0.140326
419.2893,71.5790,0.145215
421.2183,70.5219,0.151676
423.1472,70.1000,0.154282
425.0761,69.4824,0.158125
427.0051,68.6915,0.163097
428.9340,68.3956,0.164972
430.8629,67.9559,0.167773
432.7919,67.4794,0.170829
434.7208,67.3862,0.171429
436.6497,67.0128,0.173842
438.5787,66.5415,0.176907
440.5076,66.3738,0.178003
442.4365,66.4907,0.177239
444.3655,66.1258,0.179629
446.2944,65.5883,0.183174
448.2233,65.3030,0.185067
450.1523,64.9533,0.187399
452.0812,64.7328,0.188876
454.0102,64.0373,0.193567
455.9391,63.5154,0.197121
457.8680,63.3532,0.198231
459.7970,63.0089,0.200598
461.7259,62.4227,0.204657
463.6548,62.3270,0.205324
465.5838,62.2704,0.205718
467.5127,62.3762,0.204981
469.4416,62.4601,0.204397
471.3706,62.6216,0.203276
473.2995,63.0992,0.199976
475.2284,63.8648,0.194738
477.1574,64.6851,0.189196
479.0863,65.1635,0.185996
481.0152,66.2244,0.178982
482.9442,67.0300,0.173731
484.8731,67.7415,0.169145
486.8020,68.6274,0.163502
488.7310,68.9433,0.161508
490.6599,69.5869,0.157473
492.5888,70.3291,0.152865
494.5178,70.5426,0.151548
496.4467,70.6106,0.151130
498.3756,70.7327,0.150380
500.3046,70.5656,0.151407
502.2335,70.3071,0.153001
504.1624,69.9024,0.155508
506.0914,69.4433,0.158369
508.0203,68.7597,0.162666
509.9492,68.6180,0.163562
511.8782,67.6405,0.169793
513.8071,66.9084,0.174519
515.7360,66.5701,0.176721
517.6650,66.0961,0.179824
519.5939,65.8521,0.181430
521.5228,65.4999,0.183759
523.4518,65.6429,0.182812
525.3807,65.6881,0.182513
527.3096,65.8893,0.181185
529.2386,66.1336,0.179578
531.1675,66.4827,0.177292
533.0964,67.0253,0.173761
535.0254,67.5093,0.170636
536.9543,68.1942,0.166253
538.8832,69.3172,0.159159
540.8122,70.1287,0.154104
542.7411,70.8314,0.149774
544.6700,72.0130,0.142589
546.5990,72.5310,0.139476
548.5279,73.6529,0.132810
550.4569,74.5019,0.127833
552.3858,75.4730,0.122208
554.3147,76.4482,0.116633
556.2437,77.4705,0.110863
558.1726,78.4695,0.105299
560.1015,79.1672,0.101455
562.0305,80.0984,0.096376
563.9594,80.7586,0.092811
565.8883,81.6058,0.088279
567.8173,81.9217,0.086601
569.7462,82.8275,0.081825
571.6751,83.3005,0.079352
573.6041,84.0546,0.075438
575.5330,84.0279,0.075577
577.4619,84.4798,0.073247
579.3909,84.6726,0.072257
581.3198,84.5850,0.072707
583.2487,84.9161,0.071010
585.1777,84.7490,0.071866
587.1066,84.7691,0.071763
589.0355,84.4840,0.073226
590.9645,84.5905,0.072678
592.8934,84.1064,0.075171
594.8223,83.6484,0.077542
596.7513,83.1945,0.079905
598.6802,82.8351,0.081786
600.6091,82.3668,0.084248
602.5381,81.7368,0.087582
604.4670,81.6580,0.088001
606.3959,81.4982,0.088852
608.3249,81.2475,0.090190
610.2538,81.1516,0.090703
612.1827,81.2357,0.090253
614.1117,80.9860,0.091590
616.0406,81.5537,0.088556
617.9695,81.9631,0.086382
619.8985,82.3245,0.084471
621.8274,83.1633,0.080068
623.7563,83.6377,0.077598
625.6853,84.6108,0.072574
627.6142,84.6661,0.072290
629.5431,85.3478,0.068808
631.4721,86.1914,0.064536
633.4010,86.7051,0.061956
635.3299,86.9568,0.060697
637.2589,87.4150,0.058414
639.1878,87.8575,0.056221
641.1168,88.1390,0.054832
643.0457,87.9654,0.055688
644.9746,88.8980,0.051108
646.9036,88.8403,0.051390
648.8325,88.8185,0.051496
650.7614,88.8887,0.051154
652.6904,88.8964,0.051116
654.6193,89.1576,0.049841
656.5482,88.9956,0.050631
658.4772,89.2337,0.049471
660.4061,89.1785,0.049740
662.3350,89.3038,0.049130
664.2640,89.2764,0.049263
666.1929,89.6829,0.047290
668.1218,89.3308,0.048999
670.0508,89.1314,0.049969
671.9797,89.0502,0.050365
673.9086,88.7435,0.051863
675.8376,88.8806,0.051193
677.7665,88.8957,0.051119
679.6954,88.1134,0.054958
681.6244,87.7352,0.056826
683.5533,87.5316,0.057835
685.4822,86.8223,0.061369
687.4112,86.4884,0.063042
689.3401,86.1515,0.064737
691.2690,86.1202,0.064895
693.1980,85.7416,0.066808
695.1269,86.5111,0.062928
697.0558,86.5161,0.062903
698.9848,86.7934,0.061513
700.9137,86.9897,0.060532
702.8426,87.7707,0.056651
704.7716,88.2529,0.054271
706.7005,88.5564,0.052780
708.6294,89.0343,0.050442
710.5584,88.9697,0.050758
712.4873,88.7167,0.051995
714.4162,88.5631,0.052747
716.3452,88.9742,0.050736
718.2741,88.6409,0.052366
720.2030,88.6396,0.052372
722.1320,88.2592,0.054240
724.0609,87.7857,0.056576
725.9898,87.7952,0.056529
727.9188,87.3898,0.058539
729.8477,86.9538,0.060711
731.7766,86.4149,0.063411
733.7056,86.0422,0.065288
735.6345,85.8154,0.066435
737.5634,85.8557,0.066231
739.4924,85.4146,0.068468
741.4213,86.0345,0.065328
743.3503,86.5668,0.062648
745.2792,86.5205,0.062881
747.2081,86.6334,0.062315
749.1371,87.4196,0.058391
751.0660,87.5602,0.057693
752.9949,87.9678,0.055676
754.9239,87.9493,0.055767
756.8528,88.3408,0.053839
758.7817,88.6730,0.052209
760.7107,88.6007,0.052563
762.6396,88.6967,0.052092
764.5685,88.1329,0.054862
766.4975,87.8292,0.056361
768.4264,87.0328,0.060317
770.3553,86.1200,0.064896
772.2843,85.3199,0.068949
774.2132,83.6567,0.077499
776.1421,82.8632,0.081638
778.0711,81.8746,0.086851
780.0000,81.5642,0.088501
781.9289,82.2762,0.084726
783.8579,83.0419,0.080703
785.7868,83.3394,0.079150
787.7157,84.3540,0.073894
789.6447,84.8082,0.071562
791.5736,84.3469,0.073931
793.5025,84.2723,0.074315
795.4315,83.0868,0.080468
797.3604,82.6320,0.082852
799.2893,81.6533,0.088026
801.2183,81.4417,0.089153
803.1472,82.0995,0.085660
805.0761,83.0046,0.080898
807.0051,84.5099,0.073093
808.9340,85.6554,0.067245
810.8629,86.7968,0.061496
812.7919,87.5428,0.057780
814.7208,88.3801,0.053646
816.6497,88.8089,0.051543
818.5787,89.1400,0.049927
820.5076,89.4916,0.048218
822.4365,89.7683,0.046877
824.3655,89.6308,0.047543
826.2944,89.7364,0.047031
828.2233,89.9209,0.046139
830.1523,89.9179,0.046154
832.0812,89.8598,0.046435
834.0102,89.9319,0.046086
835.9391,90.0073,0.045722
837.8680,90.0892,0.045327
839.7970,90.0632,0.045453
841.7259,89.9362,0.046065
843.6548,89.6832,0.047289
845.5838,89.9220,0.046134
847.5127,89.6933,0.047240
849.4416,90.2771,0.044423
851.3706,89.9573,0.045964
853.2995,89.3409,0.048950
855.2284,89.6619,0.047392
857.1574,89.5067,0.048144
859.0863,89.2425,0.049428
861.0152,88.8237,0.051471
