wavenumber_cm-1,transmittance_percent,absorbance
400.0000,80.7506,0.092854
401.9289,80.1165,0.096278
403.8579,78.9936,0.102408
405.7868,78.1512,0.107065
407.7157,77.0403,0.113282
409.6447,76.3527,0.117175
411.5736,75.3110,0.123142
413.5025,74.4733,0.127999
415.4315,73.2785,0.135023
417.3604,72.4608,0.139897
419.2893,71.4316,0.146110
421.2183,70.3339,0.152835
423.1472,69.7932,0.156187
425.0761,68.5345,0.164091
427.0051,68.1824,0.166328
428.9340,67.4091,0.171281
430.8629,66.9642,0.174157
432.7919,66.7119,0.175796
434.7208,65.9943,0.180494
436.6497,65.7393,0.182175
438.5787,65.4239,0.184264
440.5076,65.4515,0.184080
442.4365,65.2546,0.185389
444.3655,64.8961,0.187782
446.2944,64.8863,0.187847
448.2233,64.5977,0.189783
450.1523,64.2249,0.192296
452.0812,63.9823,0.193940
454.0102,63.7118,0.195780
455.9391,63.5627,0.196798
457.8680,63.2114,0.199204
459.7970,62.9527,0.200986
461.7259,62.8069,0.201993
463.6548,63.0059,0.200619
465.5838,62.9965,0.200683
467.5127,63.2160,0.199173
469.4416,63.8809,0.194629
471.3706,64.0390,0.193555
473.2995,64.7284,0.188905
475.2284,65.2897,0.185155
477.1574,66.2835,0.178595
479.0863,67.2027,0.172613
481.0152,67.7633,0.169005
482.9442,68.6700,0.163233
484.8731,69.7161,0.156667
486.8020,70.4777,0.151948
488.7310,71.2218,0.147387
490.6599,71.8240,0.143730
492.5888,71.9302,0.143089
494.5178,72.5504,0.139360
496.4467,72.8689,0.137458
498.3756,73.0680,0.136273
500.3046,72.8866,0.137353
502.2335,72.6438,0.138801
504.1624,72.3331,0.140663
506.0914,72.1003,0.142063
508.0203,71.7700,0.144057
509.9492,71.2892,0.146976
511.8782,70.8898,0.149416
513.8071,70.4065,0.152387
515.7360,70.0271,0.154734
517.6650,69.5600,0.157641
519.5939,69.5944,0.157426
521.5228,69.6303,0.157202
523.4518,69.6905,0.156826
525.3807,69.8161,0.156045
527.3096,69.9733,0.155067
529.2386,70.6453,0.150917
531.1675,70.4791,0.151940
533.0964,71.2087,0.147467
535.0254,72.0326,0.142471
536.9543,72.7450,0.138197
538.8832,72.9351,0.137063
540.8122,74.0121,0.130697
542.7411,74.9431,0.125268
544.6700,75.7687,0.120510
546.5990,76.5741,0.115918
548.5279,77.3314,0.111644
550.4569,78.0302,0.107737
