wavenumber_cm-1,transmittance_percent,absorbance
400.0000,78.8081,0.103429
401.9289,78.0790,0.107466
403.8579,77.3610,0.111478
405.7868,76.6245,0.115632
407.7157,75.3841,0.122720
409.6447,74.5878,0.127332
411.5736,73.5449,0.133448
413.5025,72.8297,0.137692
415.4315,71.8092,0.143820
417.3604,71.0250,0.148589
419.2893,69.9520,0.155200
421.2183,69.3560,0.158916
423.1472,68.5444,0.164028
425.0761,67.9329,0.167920
427.0051,67.4389,0.171090
428.9340,66.9974,0.173942
430.8629,66.4299,0.177636
432.7919,66.3815,0.177953
434.7208,65.8594,0.181382
436.6497,65.6437,0.182807
438.5787,65.8756,0.181275
440.5076,65.3088,0.185028
442.4365,65.2848,0.185188
444.3655,64.9535,0.187398
446.2944,64.9928,0.187135
448.2233,64.2920,0.191843
450.1523,63.8688,0.194711
452.0812,63.4827,0.197345
454.0102,63.4344,0.197675
455.9391,62.9079,0.201295
457.8680,62.6426,0.203130
459.7970,62.3011,0.205504
461.7259,62.1621,0.206474
463.6548,61.6184,0.210289
465.5838,61.5997,0.210421
467.5127,61.4934,0.211171
469.4416,61.7650,0.209257
471.3706,61.7975,0.209029
473.2995,62.3857,0.204915
475.2284,62.8702,0.201555
477.1574,63.2982,0.198609
479.0863,63.8311,0.194968
481.0152,64.6127,0.189682
482.9442,65.7193,0.182307
484.8731,66.3562,0.178118
486.8020,67.0392,0.173671
488.7310,67.8425,0.168498
490.6599,68.4891,0.164379
492.5888,68.9844,0.161249
494.5178,68.8680,0.161982
496.4467,69.2079,0.159845
498.3756,68.9870,0.161233
500.3046,68.9005,0.161778
502.2335,68.6620,0.163284
504.1624,68.5147,0.164216
506.0914,67.8364,0.168538
508.0203,67.3790,0.171476
509.9492,66.8977,0.174589
511.8782,66.1567,0.179426
513.8071,65.6009,0.183090
515.7360,65.2299,0.185554
517.6650,65.0932,0.186464
519.5939,64.7922,0.188477
521.5228,64.5154,0.190336
523.4518,64.7582,0.188705
525.3807,64.9896,0.187156
527.3096,65.3620,0.184675
529.2386,65.8473,0.181462
531.1675,66.3494,0.178163
533.0964,67.0701,0.173471
535.0254,68.1465,0.166556
536.9543,69.2876,0.159345
538.8832,69.9924,0.154949
540.8122,70.9168,0.149251
542.7411,72.1374,0.141840
544.6700,73.0127,0.136602
546.5990,74.3847,0.128516
548.5279,75.3663,0.122823
550.4569,76.1607,0.118269
552.3858,77.3133,0.111746
554.3147,78.3342,0.106049
556.2437,79.3947,0.100208
558.1726,79.8758,0.097585
560.1015,80.8567,0.092284
562.0305,81.5112,0.088783
563.9594,82.6661,0.082673
565.8883,83.0298,0.080766
567.8173,83.3820,0.078928
569.7462,84.5025,0.073131
571.6751,84.6899,0.072168
573.6041,84.9532,0.070820
575.5330,85.2189,0.069464
577.4619,85.2198,0.069460
579.3909,85.5523,0.067768
581.3198,85.9129,0.065942
583.2487,85.4422,0.068328
585.1777,85.7409,0.066812
587.1066,85.3030,0.069036
589.0355,85.5791,0.067632
590.9645,85.1915,0.069604
592.8934,84.6708,0.072267
594.8223,84.3433,0.073950
596.7513,84.0000,0.075721
598.6802,83.4731,0.078453
600.6091,83.1523,0.080126
602.5381,82.6078,0.082979
604.4670,82.7555,0.082203
606.3959,82.2563,0.084831
608.3249,81.9897,0.086241
610.2538,82.2792,0.084710
612.1827,82.3288,0.084448
614.1117,82.8225,0.081852
616.0406,83.0539,0.080640
617.9695,83.5061,0.078282
619.8985,84.0354,0.075538
621.8274,84.7815,0.071699
623.7563,85.2030,0.069545
625.6853,85.7714,0.066658
627.6142,86.0666,0.065165
629.5431,86.5226,0.062871
631.4721,87.2967,0.059002
633.4010,87.3922,0.058527
635.3299,87.8214,0.056400
637.2589,87.7940,0.056535
639.1878,88.4155,0.053472
641.1168,88.3858,0.053618
643.0457,88.9130,0.051035
644.9746,88.8152,0.051513
646.9036,88.8628,0.051280
648.8325,88.9480,0.050864
650.7614,89.5298,0.048032
652.6904,89.3714,0.048801
654.6193,89.1504,0.049877
656.5482,89.3121,0.049090
658.4772,89.2281,0.049498
660.4061,89.6543,0.047429
662.3350,89.1043,0.050102
664.2640,89.3272,0.049016
666.1929,89.3630,0.048842
668.1218,89.4308,0.048513
670.0508,89.1407,0.049924
671.9797,89.1767,0.049749
673.9086,88.9544,0.050833
675.8376,88.5969,0.052581
677.7665,88.3749,0.053671
679.6954,88.2540,0.054266
681.6244,87.5594,0.057697
683.5533,87.2080,0.059443
685.4822,86.4057,0.063458
687.4112,85.7571,0.066730
689.3401,85.4050,0.068517
691.2690,84.8578,0.071308
693.1980,84.5017,0.073135
695.1269,84.2592,0.074383
697.0558,84.5634,0.072818
698.9848,85.0528,0.070311
700.9137,85.5856,0.067599
702.8426,85.9417,0.065796
704.7716,86.6723,0.062119
706.7005,87.1779,0.059594
708.6294,87.7771,0.056619
710.5584,87.8708,0.056155
712.4873,88.8562,0.051312
714.4162,88.5852,0.052639
716.3452,89.2274,0.049502
718.2741,88.9989,0.050615
720.2030,89.1438,0.049909
722.1320,89.1849,0.049709
724.0609,89.0045,0.050588
725.9898,88.8437,0.051373
727.9188,88.7406,0.051877
729.8477,88.8945,0.051125
731.7766,88.8081,0.051547
733.7056,88.6368,0.052386
735.6345,88.6369,0.052386
737.5634,88.9937,0.050641
739.4924,88.3058,0.054011
741.4213,88.7457,0.051853
743.3503,89.1017,0.050114
745.2792,88.6016,0.052558
747.2081,88.7452,0.051855
749.1371,89.1622,0.049819
751.0660,88.9678,0.050767
752.9949,89.1565,0.049847
754.9239,88.9219,0.050991
756.8528,88.7412,0.051875
758.7817,88.4885,0.053113
760.7107,88.0898,0.055074
762.6396,87.6075,0.057459
764.5685,86.8845,0.061058
766.4975,85.5457,0.067802
768.4264,84.2759,0.074297
770.3553,82.3821,0.084167
772.2843,81.2467,0.090194
774.2132,80.0308,0.096743
776.1421,79.5272,0.099485
778.0711,80.3469,0.095031
780.0000,81.2520,0.090166
781.9289,82.2309,0.084965
783.8579,83.3561,0.079062
785.7868,84.1520,0.074935
787.7157,83.6000,0.077794
789.6447,83.1827,0.079967
791.5736,82.1839,0.085213
793.5025,80.5350,0.094016
795.4315,78.9573,0.102608
797.3604,77.9892,0.107966
799.2893,77.8791,0.108579
801.2183,78.7785,0.103592
803.1472,80.6395,0.093452
805.0761,82.0941,0.085688
807.0051,84.0002,0.075720
