land_use,depth_cm,wavenumber_cm-1,transmittance_percent,absorbance,band_group,assignment
Coniferous forest,0-15,465.58,68.31,0.1655,silicate,Si-O-Si bending of quartz and phyllosilicates
Coniferous forest,0-15,525.38,71.37,0.1465,clay_bend,Si-O-Al bending of octahedral sheet
Coniferous forest,0-15,602.54,84.28,0.0743,feox,Fe-O and Si-O-Al bending
Coniferous forest,0-15,693.20,86.63,0.0623,quartz,Quartz / Si-O-Al vibration
Coniferous forest,0-15,735.63,85.42,0.0684,aromatic_oop,Aromatic C-H out-of-plane deformation
Coniferous forest,0-15,795.43,82.61,0.0829,quartz,"Quartz doublet, Si-O symmetric stretch"
Coniferous forest,0-15,916.95,84.22,0.0746,clay_bend,Al-Al-OH deformation of dioctahedral clays
Coniferous forest,0-15,1032.69,49.95,0.3014,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Coniferous forest,0-15,1258.38,83.45,0.0786,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Coniferous forest,0-15,1460.91,84.70,0.0721,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Coniferous forest,0-15,1509.14,87.45,0.0582,aromatic_amide,Aromatic skeletal C=C of lignin
Coniferous forest,0-15,1559.29,85.43,0.0684,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Coniferous forest,0-15,1651.88,79.07,0.1020,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Coniferous forest,0-15,1713.60,81.50,0.0888,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Coniferous forest,0-15,2143.76,94.88,0.0228,silica_ot,Quartz / silicate overtone-combination band
Coniferous forest,0-15,2855.53,87.08,0.0601,aliphatic,Symmetric C-H stretch of aliphatic CH2
Coniferous forest,0-15,2926.90,82.64,0.0828,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Coniferous forest,0-15,3405.28,75.05,0.1247,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Coniferous forest,0-15,3619.39,84.55,0.0729,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Coniferous forest,0-15,3694.62,90.26,0.0445,clay_oh,Kaolinite inner-surface O-H stretch
Coniferous forest,15-30,461.73,66.23,0.1789,silicate,Si-O-Si bending of quartz and phyllosilicates
Coniferous forest,15-30,521.52,69.43,0.1585,clay_bend,Si-O-Al bending of octahedral sheet
Coniferous forest,15-30,612.18,83.19,0.0799,feox,Fe-O and Si-O-Al bending
Coniferous forest,15-30,695.13,86.19,0.0645,quartz,Quartz / Si-O-Al vibration
Coniferous forest,15-30,778.07,82.56,0.0832,quartz,"Quartz doublet, Si-O symmetric stretch"
Coniferous forest,15-30,801.22,81.30,0.0899,quartz,"Quartz doublet, Si-O symmetric stretch"
Coniferous forest,15-30,915.03,82.27,0.0847,clay_bend,Al-Al-OH deformation of dioctahedral clays
Coniferous forest,15-30,1032.69,43.15,0.3650,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Coniferous forest,15-30,1256.45,88.09,0.0551,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Coniferous forest,15-30,1453.20,89.04,0.0504,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Coniferous forest,15-30,1563.15,89.99,0.0458,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Coniferous forest,15-30,1649.95,86.44,0.0633,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
