land_use,depth_cm,wavenumber_cm-1,transmittance_percent,absorbance,band_group,assignment
Vegetable field,0-15,459.80,65.50,0.1838,silicate,Si-O-Si bending of quartz and phyllosilicates
Vegetable field,0-15,521.52,70.82,0.1499,clay_bend,Si-O-Al bending of octahedral sheet
Vegetable field,0-15,616.04,83.15,0.0801,feox,Fe-O and Si-O-Al bending
Vegetable field,0-15,697.06,86.25,0.0642,quartz,Quartz / Si-O-Al vibration
Vegetable field,0-15,737.56,86.76,0.0617,aromatic_oop,Aromatic C-H out-of-plane deformation
Vegetable field,0-15,776.14,82.09,0.0857,quartz,"Quartz doublet, Si-O symmetric stretch"
Vegetable field,0-15,797.36,80.67,0.0933,quartz,"Quartz doublet, Si-O symmetric stretch"
Vegetable field,0-15,918.88,82.22,0.0850,clay_bend,Al-Al-OH deformation of dioctahedral clays
Vegetable field,0-15,1030.76,38.71,0.4122,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Vegetable field,0-15,1264.16,86.70,0.0620,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Vegetable field,0-15,1381.83,81.85,0.0870,nitrate,Nitrate v3; C-H bending of CH3
Vegetable field,0-15,1453.20,84.50,0.0731,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Vegetable field,0-15,1557.36,88.55,0.0528,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Vegetable field,0-15,1648.02,83.85,0.0765,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Vegetable field,0-15,1719.39,85.87,0.0662,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Vegetable field,0-15,2164.97,94.04,0.0267,silica_ot,Quartz / silicate overtone-combination band
Vegetable field,0-15,2516.04,93.99,0.0269,carbonate,Carbonate combination band (calcite)
Vegetable field,0-15,2857.46,91.50,0.0386,aliphatic,Symmetric C-H stretch of aliphatic CH2
Vegetable field,0-15,2924.97,88.96,0.0508,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Vegetable field,0-15,3395.63,77.40,0.1113,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Vegetable field,0-15,3617.46,83.96,0.0760,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Vegetable field,0-15,3696.55,89.33,0.0490,clay_oh,Kaolinite inner-surface O-H stretch
